UniProt	GeneSym
O60831	PRAF2
P30044	PRDX5
Q9NQX1	PRDM5
Q5VTL8	PRPF38B
Q06830	PRDX1
Q5SWA1	PPP1R15B
P30048	PRDX3
Q96MT3	PRICKLE1
O43900	PRICKLE3
P01236	PRL
P04156	PRNP
P04554	PRM2
Q9NNZ6	PRM3
O75569	PRKRA
O43930	PRKY
Q9HC23	PROK2
Q16378	PRR4
O43490	PROM1
Q8N271	PROM2
O75360	PROP1
P22891	PROZ
P27635	RPL10
Q8WWY3	PRPF31
O60508	CDC40
Q99633	PRPF18
Q86UA1	PRPF39
P60891	PRPS1
Q8IZ63	PRR22
P21108	PRPS1L1
Q53SZ7	PRR30
Q9H6K5	PRR36
P81277	PRLH
Q99946	PRRT1
A6NJB7	PRR19
Q7Z6L0	PRRT2
C9JH25	PRRT4
Q6UWB4	PRSS55
P0CW18	PRSS56
Q6UWY2	PRSS57
A1L453	PRSS38
Q9HBY8	SGK2
Q8NDV3	SMC1B
P62280	RPS11
O75486	SUPT3H
Q15022	SUZ12
Q7L0J3	SV2A
Q7L1I2	SV2B
A6NEL2	SOWAHB
Q53LP3	SOWAHC
P62753	RPS6
Q8N122	RPTOR
Q6UDR6	SPINT4
O43609	SPRY1
Q9BRL6	SRSF8
Q8TC36	SUN5
P51687	SUOX
P60866	RPS20
Q9BRV3	SLC50A1
Q58G82	SYT14P1
Q96P16	RPRD1A
P25398	RPS12
P61011	SRP54
Q96SB4	SRPK1
P78539	SRPX
Q9UH36	SRRD
Q8IYB3	SRRM1
A7MD48	SRRM4
Q07955	SRSF1
P84103	SRSF3
Q13242	SRSF9
M5A8F1	ERVH48-1
P23396	RPS3
Q8TD47	RPS4Y2
P62701	RPS4X
Q9H5I1	SUV39H2
A6NJG2	SOWAHD
P51398	DAP3
Q8IZC4	RTKN2
P82909	MRPS36
Q9BZR6	RTN4R
Q13950	RUNX2
P62304	SNRPE
Q8IVM8	SLC22A9
Q9H2X9	SLC12A5
Q8N5S1	SLC25A41
Q9BXS9	SLC26A6
Q9NP94	SLC39A2
Q5M8T2	SLC35D3
Q9Y2D2	SLC35A3
Q8N1S5	SLC39A11
Q6ZT89	SLC25A48
Q96ER3	SAAL1
Q6YBV0	SLC36A4
Q9UBE0	SAE1
P0DJI9	SAA2
Q9H2J7	SLC6A15
P18405	SRD5A1
Q15020	SART3
Q01826	SATB1
Q8N8I0	SAMD12
Q6UWP8	SBSN
O75396	SEC22B
A0A286YF77	SCYGR6
A0A286YF01	SCYGR7
Q6KCM7	SLC25A25
Q9BV35	SLC25A23
Q6UWF3	SCIMP
Q9UN30	SCML1
Q8IWT1	SCN4B
Q8NFU7	TET1
Q96I15	SCLY
Q96A09	TENT5B
Q9UJQ7	SCP2D1
Q9GZW5	SCAND2P
Q12765	SCRN1
Q8IYF3	TEX11
Q8WTV0	SCARB1
P82932	MRPS6
P82930	MRPS34
Q9BWD3	RTL8A
P08579	SNRPB2
P09234	SNRPC
Q66K80	RUSC1-AS1
Q8IZ73	RPUSD2
Q13761	RUNX3
Q9UIY3	RWDD2A
P21817	RYR1
Q9UDX4	SEC14L3
P31151	S100A7
Q86SG5	S100A7A
Q5SY68	S100A7L2
O15244	SLC22A2
Q16348	SLC15A2
Q8TBP6	SLC25A40
Q8IZD6	SLC22A15
Q96CQ1	SLC25A36
Q9Y2C5	SLC17A4
Q7Z769	SLC35E3
Q14542	SLC29A2
Q9BZD2	SLC29A3
Q4U2R8	SLC22A6
P80511	S100A12
Q9H1N7	SLC35B3
Q8N4F4	SLC22A24
P23297	S100A1
Q96KT7	SLC35G5
P0C7Q6	SLC35G6
Q7Z3Q1	SLC46A3
Q15043	SLC39A14
Q9NP59	SLC40A1
O43868	SLC28A2
Q15424	SAFB
W5XKT8	SPACA6
Q96E40	SPACA9
Q9UBT2	UBA2
Q9NQ40	SLC52A3
O43865	AHCYL1
O94885	SASH1
Q8IVG5	SAMD9L
Q9UL17	TBX21
A0PJK1	SLC5A10
Q92791	P3H4
Q9BRL7	SEC22C
Q8WVM8	SCFD1
Q99590	SCAF11
P13521	SCG2
P60468	SEC61B
P31641	SLC6A6
A0A286YEY9	SCYGR1
A0A286YFB4	SCYGR2
Q6NUK1	SLC25A24
Q9BWG6	SCNM1
P37088	SCNN1A
Q6N021	TET2
P51170	SCNN1G
Q99250	SCN2A
Q96T51	RUFY1
P09661	SNRPA1
Q8NET4	RTL9
Q9BYN8	MRPS26
Q9BVN2	RUSC1
Q96S37	SLC22A12
Q6PIV7	SLC25A34
Q8N697	SLC15A4
O43511	SLC26A4
P58743	SLC26A5
Q96H78	SLC25A44
A6NK97	SLC22A20P
Q96QD8	SLC38A2
Q9Y666	SLC12A7
Q969S0	SLC35B4
Q9BZW2	SLC13A1
Q9Y6Y8	SEC23IP
Q6UXD7	SLC49A3
O00337	SLC28A1
Q8TCU3	SLC7A13
Q8TBB6	SLC7A14
Q495M3	SLC36A2
Q9NTJ5	SACM1L
Q9Y6M7	SLC4A7
Q9NR31	SAR1A
Q9Y467	SALL2
Q9UJQ4	SALL4
P17900	GM2A
Q9BYL1	SAMD10
Q9NQZ2	UTP3
Q9Y3Z3	SAMHD1
P07602	PSAP
Q9Y2G9	SBNO2
Q15436	SEC23A
Q13228	SELENBP1
P82921	MRPS21
Q86VV8	RTTN
Q96C34	RUNDC1
Q9H714	RUBCNL
Q9Y265	RUVBL1
Q9H446	RWDD1
Q9Y3V2	RWDD3
P29034	S100A2
P33764	S100A3
Q9Y2B1	RXYLT1
O43304	SEC14L5
B5MCN3	SEC14L6
Q63ZE4	SLC22A10
Q15413	RYR3
P31949	S100A11
Q8IY50	SLC35F3
Q96DW6	SLC25A38
Q9NUL5	RYDEN
P25815	S100P
Q5VYP0	SPATA31A3
A0AV02	SLC12A8
Q8WUX1	SLC38A5
Q6ZUB0	SPATA31D4
O14975	SLC27A2
Q6PIS1	SLC23A3
A6NNN8	SLC38A8
Q8TF17	SH3TC2
Q9Y2P5	SLC27A5
Q6U841	SLC4A10
Q504Y0	SLC39A12
Q08AI6	SLC38A11
P61619	SEC61A1
Q9H4B7	TUBB1
Q9BY07	SLC4A5
Q8TDM5	SPACA4
Q9Y2H2	INPP5F
P35542	SAA4
Q9NXZ1	SAGE1
O43435	TBX1
Q8N6K7	SAMD3
Q8IZD0	SAMD14
Q658L1	SAXO2
Q8N695	SLC5A8
P14678	SNRPB
Q9NP92	MRPS30
Q9BQC6	MRPL57
Q96NL0	RUNDC3B
Q8N2Y8	RUSC2
Q6P087	RPUSD3
Q96CM3	RPUSD4
Q8N103	TAGAP
O75751	SLC22A3
Q9Y2V3	RAX
Q9H228	S1PR5
P04271	S100B
Q9Y694	SLC22A7
Q9ULF5	SLC39A10
Q6Q0C1	SLC25A47
Q695T7	SLC6A19
Q9H1U9	SLC25A51
Q9Y2P4	SLC27A6
Q3SY17	SLC25A52
Q86WA9	SLC26A11
Q9H2B4	SLC26A1
P48066	SLC6A11
P48065	SLC6A12
Q9NWF4	SLC52A1
A6NKF1	SAC3D1
P23526	AHCY
Q96BY9	SARAF
Q9Y6B6	SAR1B
Q2MKA7	RSPO1
Q9BXY4	RSPO3
P82912	MRPS11
Q16594	TAF9
Q6NW29	RWDD4
Q9HBX9	RXFP1
Q8WXD0	RXFP2
Q6NT16	SLC18B1
Q92503	SEC14L1
O15245	SLC22A1
Q92736	RYR2
Q96BU1	S100PBP
Q9Y226	SLC22A13
P48443	RXRG
A6NIM6	SLC15A5
Q86VD7	SLC25A42
Q8WUT9	SLC25A43
A4IF30	SLC35F4
Q99624	SLC38A3
Q9NQQ7	SLC35C2
Q9NVC3	SLC38A7
Q13183	SLC13A2
Q8TE82	SH3TC1
Q96N87	SLC6A18
Q96G79	SLC35A4
Q9NP91	SLC6A20
Q8NG04	SLC26A10
Q8IVJ1	SLC41A1
Q9H2H9	SLC38A1
P82673	MRPS35
Q6ICC9	RTL6
Q16799	RTN1
P08621	SNRNP70
Q01196	RUNX1
Q5QGT7	RTP2
O95136	S1PR2
Q96BI1	SLC22A18
O95977	S1PR4
Q8N357	SLC35F6
Q13433	SLC39A6
Q5VVP1	SPATA31A6
Q8IWB4	SPATA31A7
Q76EJ3	SLC35D2
Q9NUM3	SLC39A9
Q96AG3	SLC25A46
Q8N1H7	SIX6OS1
Q9Y2W3	SLC45A1
Q8IXA5	SPACA3
Q96JT2	SLC45A3
P0DJI8	SAA1
Q14151	SAFB2
Q9GZN6	SLC6A16
Q9H1V8	SLC6A17
Q9H633	RPP21
P62244	RPS15A
Q9BXG8	SPZ1
O15042	U2SURP
P11831	SRF
O75044	SRGAP2
P37108	SRP14
P09132	SRP19
P62269	RPS18
O76094	SRP72
P78362	SRPK2
Q9UPE1	SRPK3
Q9Y5M8	SRPRB
O60687	SRPX2
Q9UQ35	SRRM2
Q9BXP5	SRRT
Q9GZT4	SRR
O75494	SRSF10
Q05519	SRSF11
Q9C004	SPRY4
Q9Y6N5	SQOR
Q9HD15	SRA1
Q12772	SREBF2
Q14247	CTTN
Q86TD4	SRL
Q8WXA9	SREK1
P08708	RPS17
P0DMP2	SRGAP2B
P0DJJ0	SRGAP2C
Q9UGK8	SERGEF
P10124	SRGN
O43295	SRGAP3
P49458	SRP9
Q8WXF0	SRSF12
Q01130	SRSF2
Q9BUL9	RPP25
Q8N4K4	RPRML
O95347	SMC2
A6NHR9	SMCHD1
Q96FB5	RRNAD1
Q14684	RRP1B
Q5JTZ9	AARS2
Q6XPR3	RPTN
Q13501	SQSTM1
Q08170	SRSF4
Q16629	SRSF7
P46782	RPS5
Q5T5J6	SWT1
P62241	RPS8
Q8WWL2	SPIRE2
O43278	SPINT1
O43291	SPINT2
P49223	SPINT3
Q8IYB8	SUPV3L1
Q2M3V2	SOWAHA
Q1ZZU3	SWI5
Q9UH65	SWAP70
P62081	RPS7
Q92737	RASL10A
Q5TD94	RSPH4A
Q08AE8	SPIRE1
P22090	RPS4Y1
O43463	SUV39H1
Q6NVH7	SWSAP1
Q9HA92	RSAD1
Q96S79	RASL10B
O75818	RPP40
Q8WXG1	RSAD2
Q96IZ7	RSRC1
Q9NVS2	MRPS18A
P82933	MRPS9
O00141	SGK1
Q96BR1	SGK3
O00411	POLRMT
Q9Y657	SPIN1
Q5JUX0	SPIN3
P62841	RPS15
Q9Y6N7	ROBO1
P61218	POLR2F
O15514	POLR2D
Q2QD12	RPEL1
Q96KN7	RPGRIP1
Q8TA86	RP9
Q9P1U0	ZNRD1
P62277	RPS13
Q14690	PDCD11
Q9NSQ0	RRP7BP
P46779	RPL28
Q9Y3U8	RPL36
O95059	RPP14
Q5VT52	RPRD2
Q9NS64	RPRM
Q9UQE7	SMC3
O43597	SPRY2
Q9UHB9	SRP68
P08240	SRPRA
A6NNA2	SRRM3
B3KS81	SRRM5
P39019	RPS19
Q13243	SRSF5
Q13247	SRSF6
P62266	RPS23
Q7L523	RRAGA
Q9NQL2	RRAGD
Q07020	RPL18
P18077	RPL35A
Q969Q0	RPL36AL
P61927	RPL37
P63173	RPL38
P62891	RPL39
P62945	RPL41
O14730	RIOK3
Q96K30	RITA1
A6NKH3	RPL37AP8
Q96EH5	RPL39L
Q5VZM2	RRAGB
Q9P2E9	RRBP1
Q02543	RPL18A
P46783	RPS10
P83881	RPL36A
P62263	RPS14
Q96JX3	SERAC1
P23327	HRC
Q96GP6	SCARF2
Q14162	SCARF1
Q8NEF9	SRFBP1
Q7Z6B7	SRGAP1
Q9H3Y6	SRMS
P62829	RPL23
P61254	RPL26
P46776	RPL27A
P61247	RPS3A
P49207	RPL34
P61353	RPL27
P62861	FAU
P39023	RPL3
P36578	RPL4
P62424	RPL7A
Q86X10	RALGAPB
P84098	RPL19
P35268	RPL22
P62750	RPL23A
Q9UNX3	RPL26L1
O43610	SPRY3
Q8N9Q2	SREK1IP1
P62249	RPS16
Q9BX66	SORBS1
O94875	SORBS2
Q6ZRS2	SRCAP
Q9C0H9	SRCIN1
A1L4H1	SSC5D
Q4G0T1	null
P12931	SRC
Q9NRX2	MRPL17
Q96K19	RNF170
Q9Y6U7	RNF215
Q9H9V4	RNF122
Q96C74	ROPN1L
Q01973	ROR1
O15318	POLR3G
P05423	POLR3D
Q96EU6	RRP36
Q02878	RPL6
P07998	RNASE1
Q8N5N7	MRPL50
Q96LT9	RNPC3
Q8TAA1	RNASE11
P09651	HNRNPA1
O95602	POLR1A
O75116	ROCK2
P52434	POLR2H
Q9H9Y6	POLR1B
Q9H1D9	POLR3F
Q9H7B2	RPF2
Q9Y2Y1	POLR3K
Q92565	RAPGEF5
O14802	POLR3A
Q16518	RPE65
P04844	RPN2
Q9H9Y2	RPF1
Q9NWS8	RMND1
Q9ULK6	RNF150
Q9NRR4	DROSHA
Q96A37	RNF166
Q99942	RNF5
Q9Y225	RNF24
Q6P5S7	RNASEK
Q5GAN6	RNASE10
Q15287	RNPS1
P60602	ROMO1
Q8IWN7	RP1L1
P53803	POLR2K
O15446	CD3EAP
P30876	POLR2B
O75575	CRCP
Q6ZSG1	RNF165
O43567	RNF13
Q9H777	ELAC1
Q99729	HNRNPAB
Q9NW08	POLR3B
P62875	POLR2L
Q63HN8	RNF213
Q8NC42	RNF149
Q8TC41	RNF217
Q5TA31	RNF187
Q96PX1	RNF157
Q68DV7	RNF43
Q7L0R7	RNF44
O60930	RNASEH1
Q5TBB1	RNASEH2B
Q5GAN4	RNASE12
Q9BZX4	ROPN1B
Q13905	RAPGEF1
P36954	POLR2I
Q96AT9	RPE
Q96A35	MRPL24
Q6ZRF8	RNF207
Q9Y508	RNF114
Q8N4F7	RNF175
Q86VV4	RANBP3L
E7ERA6	RNF223
Q8TEB7	RNF128
Q9H6Y7	RNF167
P78317	RNF4
Q5GAN3	RNASE13
P10155	TROVE2
Q5T653	MRPL2
Q4U2R6	MRPL51
Q9UHA3	RSL24D1
Q8N983	MRPL43
Q9NWU5	MRPL22
Q8TCC3	MRPL30
Q9BRJ2	MRPL45
Q9H2W6	MRPL46
Q7Z7F7	MRPL55
Q96DM3	RMC1
Q9NQ50	MRPL40
Q9H1E1	RNASE7
Q9NWF9	RNF216
Q2KHN1	RNF151
Q9NV58	RNF19A
Q8WU17	RNF139
O94941	UBOX5
P0C263	SBK2
Q8TDP1	RNASEH2C
Q9HAU8	RNPEPL1
P51449	RORC
Q13129	RLF
P12271	RLBP1
Q9BQ48	MRPL34
Q9P0M9	MRPL27
Q05823	RNASEL
Q8NCN4	RNF169
O76064	RNF8
Q9BQ52	ELAC2
Q96MS0	ROBO3
P24928	POLR2A
P51991	HNRNPA3
Q9H0X6	RNF208
Q52WX2	SBK1
Q9Y3C5	RNF11
Q9NVW2	RLIM
O75792	RNASEH2A
Q03395	ROM1
Q04912	MST1R
Q01974	ROR2
Q9HAT0	ROPN1
Q56A73	SPIN4
P49588	AARS
Q5VWQ0	RSBN1
Q9Y2R5	MRPS17
Q92665	MRPS31
Q96A49	SYAP1
Q6PCB5	RSBN1L
Q6T310	RASL11A
Q9H1X1	RSPH9
Q2I0M5	RSPO4
Q9Y3D3	MRPS16
O00442	RTCA
O60783	MRPS14
Q9BST9	RTKN
Q96DX8	RTP4
P62306	SNRPF
A8MWD9	SNRPGP15
P34925	RYK
P26447	S100A4
Q13621	SLC12A1
Q9BSK2	SLC25A33
Q9HAS3	SLC28A3
P82675	MRPS5
P82914	MRPS15
Q8N8U3	RTL3
Q17RB0	RTL8B
Q9BSG5	RTBDN
Q9UJJ7	RPUSD1
Q9Y2Q9	MRPS28
Q92541	RTF1
P62308	SNRPG
Q96FQ6	S100A16
Q8N1F8	STK11IP
P46059	SLC15A1
P28702	RXRB
P50443	SLC26A2
Q99808	SLC29A1
Q8WUG5	SLC22A17
Q9NY26	SLC39A1
Q8N488	RYBP
Q6T423	SLC22A25
Q6ZMH5	SLC39A5
Q8WXG8	S100Z
Q5VU36	SPATA31A5
Q9UHI7	SLC23A1
Q9UGH3	SLC23A2
Q7Z2H8	SLC36A1
Q9H0K4	RSPH6A
Q8WYR4	RSPH1
Q96DX4	RSPRY1
P08865	RPSA
Q5HYW3	RTL5
Q7L099	RUFY3
Q9NZ71	RTEL1
Q9BY42	RTFDC1
Q9Y230	RUVBL2
Q86YT5	SLC13A5
Q08357	SLC20A2
P06703	S100A6
Q9BZV2	SLC19A3
Q9UP95	SLC12A4
P46781	RPS9
P82664	MRPS10
P57060	RWDD2B
Q96T23	RSF1
Q86UC2	RSPH3
Q6UXX9	RSPO2
Q15046	KARS
Q96EL2	MRPS24
Q15404	RSU1
Q9Y3D5	MRPS18C
A6NKG5	RTL1
Q8WXA3	RUFY2
Q9NQC3	RTN4
Q59EK9	RUNDC3A
O15235	MRPS12
Q6ZR62	RTL4
Q96GQ5	C16orf58
Q92552	MRPS27
Q9Y3I0	RTCB
P59025	RTP1
Q9UHP6	RSPH14
Q9Y2R9	MRPS7
Q14D33	RTP5
P82650	MRPS22
P82663	MRPS25
O75298	RTN2
Q92681	RSC1A1
Q9BPW5	RASL11B
P63162	SNRPN
Q9Y399	MRPS2
Q7L4I2	RSRC2
Q9BUV0	RSRP1
Q9Y676	MRPS18B
Q9Y291	MRPS33
Q8WWV3	RTN4IP1
Q9Y224	RTRAF
A6ZKI3	RTL8C
Q92622	RUBCN
Q9BQQ7	RTP3
Q9HCK4	ROBO2
P56715	RP1
P22626	HNRNPA2B1
P62487	POLR2G
Q9UNE2	RPH3AL
Q3B726	TWISTNB
P21549	AGXT
Q96LZ7	RMDN2
Q96GC5	MRPL48
Q6ZMZ0	RNF19B
Q96EP0	RNF31
Q969K3	RNF34
O00584	RNASET2
P62987	UBA52
Q9Y3B7	MRPL11
Q9H0U6	MRPL18
P09001	MRPL3
Q9BYD1	MRPL13
O75394	MRPL33
Q9BYC9	MRPL20
Q9H871	RMND5A
Q96G75	RMND5B
Q9BZE1	MRPL37
Q16540	MRPL23
Q8WVD5	RNF141
Q13405	MRPL49
O60518	RANBP6
Q8WVZ7	RNF133
Q2M238	RRN3P1
A6NIE6	RRN3P2
Q9BY78	RNF26
Q9H0A6	RNF32
Q9H0F5	RNF38
Q8N5U6	RNF10
P0C264	SBK3
Q9UBS8	RNF14
Q9BXT8	RNF17
Q5VYX0	RNLS
Q9BYD6	MRPL1
Q9BYD2	MRPL9
Q7Z2W9	MRPL21
Q9NX20	MRPL16
Q9H9A7	RMI1
Q96MT1	RNF145
Q9ULX5	RNF112
Q8N7C7	RNF148
Q9P0P0	RNF181
P60153	RNASE9
Q5W0B1	RNF219
Q5VTB9	RNF220
Q9BV68	RNF126
Q92730	RND1
Q9H2S5	RNF39
Q96EX2	RNFT2
P05386	RPLP1
Q8NHW5	RPLP0P6
Q96DB5	RMDN1
Q8N6D2	RNF182
Q96E39	RBMXL1
A6NCQ9	RNF222
Q96GF1	RNF185
A6NIN4	RNF227
O94763	URI1
Q8WVD3	RNF138
Q8IYW5	RNF168
Q9Y3A5	SBDS
Q5M7Z0	RNFT1
Q9Y252	RNF6
Q7Z7H8	MRPL10
Q86TS9	MRPL52
Q6P161	MRPL54
Q9HD33	MRPL47
Q96DV4	MRPL38
Q9NTX7	RNF146
P10153	RNASE2
Q96EQ8	RNF125
P0DH78	RNF224
P52198	RND2
P32969	RPL9
Q9Y6G3	MRPL42
Q96TC7	RMDN3
Q9H9J2	MRPL44
Q9P0J6	MRPL36
P34096	RNASE4
Q495C1	RNF212
Q9NXI6	RNF186
Q8IUD6	RNF135
Q96BH1	RNF25
P61587	RND3
Q9H4P4	RNF41
P05387	RPLP2
Q9BYD3	MRPL4
Q13084	MRPL28
Q96EL3	MRPL53
Q96E14	RMI2
Q6ZNA4	RNF111
Q86T96	RNF180
Q8TDE3	RNASE8
Q5XPI4	RNF123
P18124	RPL7
P62917	RPL8
P52815	MRPL12
P49406	MRPL19
Q6P1L8	MRPL14
Q8IXM3	MRPL41
Q9P015	MRPL15
Q9NZE8	MRPL35
Q9BYC8	MRPL32
P05388	RPLP0
Q93091	RNASE6
Q8ND24	RNF214
Q9H920	RNF121
O75526	RBMXL2
Q8N8N0	RNF152
Q13151	HNRNPA0
Q8IXW5	RPAP2
Q8N5L8	RPP25L
Q9GZM3	POLR2J2
P52435	POLR2J
P49247	RPIA
Q9BUI4	POLR3C
P19388	POLR2E
Q684P5	RAP1GAP2
Q96E16	SMIM19
P19474	TRIM21
Q8WZ75	ROBO4
Q9GZN7	ROGDI
P35398	RORA
Q9BT43	POLR3GL
Q9Y2J0	RPH3A
Q9Y535	POLR3H
Q9Y4G8	RAPGEF2
Q8TEU7	RAPGEF6
P78346	RPP30
Q9NYK5	MRPL39
Q9Y4L5	RNF115
Q96D59	RNF183
M0QZC1	RNF225
Q8N7X1	RBMXL3
O00237	RNF103
P04843	RPN1
P0DPB5	POLR1D
Q9Y6S9	RPS6KL1
Q9H1A7	POLR2J3
Q14683	SMC1A
P00441	SOD1
Q5JTH9	RRP12
Q9NYV6	RRN3
P56182	RRP1
P08294	SOD3
Q9NQ39	RPS10P5
Q13464	ROCK1
A6NIZ1	null
Q9H6T3	RPAP3
Q92753	RORB
Q9GZS1	POLR1E
P08922	ROS1
O95398	RAPGEF3
Q9UHV5	RAPGEFL1
Q9BQI5	SGIP1
P19387	POLR2C
P0DPB6	POLR1D
Q9BWH6	RPAP1
Q92834	RPGR
Q96ES7	SGF29
P78345	RPP38
Q9NQG5	RPRD1B
O15160	POLR1C
Q9NVU0	POLR3E
Q8WZA2	RAPGEF4
P47736	RAP1GAP
O95707	POP4
Q9NTJ3	SMC4
Q8IY18	SMC5
Q9Y3B9	RRP15
Q99611	SEPHS2
P35326	SPRR2A
Q9UBC9	SPRR3
Q7Z699	SPRED1
Q16385	SSX2
O60224	SSX4
O60225	SSX5
Q7RTT6	SSX6
Q7RTT5	SSX7
Q7RTT4	SSX8
B7Z8K6	TRDC
P0DPR3	TRDD1
O00338	SULT1C2
Q8IZP2	ST13P4
O75897	SULT1C4
Q9UEE5	STK17A
A0JD36	TRDV2
Q9HBF5	ST20
Q6IMI4	SULT6B1
P50225	SULT1A1
Q9NRC1	ST7
Q9Y2H1	STK38L
P0CL83	STAG3L1
P0CL85	STAG3L3
Q9Y365	STARD10
Q9NY15	STAB1
Q8WVM7	STAG1
Q8N3U4	STAG2
Q96MF2	STAC3
Q92783	STAM
Q9ULZ2	STAP1
P40763	STAT3
O00506	STK25
Q86TL2	STIMATE
Q9P289	STK26
Q9BXU1	STK31
Q86WV6	TMEM173
Q6NZ63	STEAP1B
O94804	STK10
Q13285	NR5A1
Q9UBI4	STOML1
Q9UJZ1	STOML2
O75716	STK16
P27105	STOM
P20396	TRH
Q13033	STRN3
Q9NRL3	STRN4
Q8N801	STPG4
O95772	STARD3NL
P46977	STT3A
Q8TCJ2	STT3B
P61764	STXBP1
Q6P9F5	TRIM40
Q6ZWJ1	STXBP4
Q8IWZ5	TRIM42
Q96BQ3	TRIM43
Q96LD4	TRIM47
P0CI25	TRIM49
Q9BYV6	TRIM55
Q9BRZ2	TRIM56
Q8IWR1	TRIM59
Q495X7	TRIM60
Q6PJ69	TRIM65
O15016	TRIM66
Q6ZTA4	TRIM67
Q9C037	TRIM4
Q14669	TRIP12
Q96FX7	TRMT61A
Q9UMX1	SUFU
Q8IX01	SUGP2
Q06330	RBPJ
P61956	SUMO2
G2XKQ0	SUMO1P1
Q15527	SURF2
P48595	SERPINB10
P61009	SPCS3
A6NLX3	SPDYE4
A6NIY4	SPDYE5
O75830	SERPINI2
P22528	SPRR1B
Q8TCT8	SPPL2A
Q9HCB6	SPON1
Q5JU69	TOR2A
P52788	SMS
Q7Z5L4	SPATA19
Q9H497	TOR3A
Q9BUA3	SPINDOC
Q9BR10	SPATA25
Q13813	SPTAN1
O15020	SPTBN2
A0A0U1RRN3	SPTY2D1OS
Q537H7	SPATA45
O00267	SUPT5H
Q8NCC5	SLC37A3
O43617	TRAPPC3
Q5MJ09	SPANXN3
Q5MJ08	SPANXN4
Q5MJ07	SPANXN5
Q14140	SERTAD2
Q9UJW9	SERTAD3
P81877	SSBP2
O60232	SSSCA1
A2A2V5	SERTM1
P51649	ALDH5A1
Q9BR01	SULT4A1
P59095	STARD6
Q9P2P6	STARD9
Q9UJ98	STAG3
Q96FJ0	STAMBPL1
Q96PN7	TRERF1
P42224	STAT1
Q9UGK3	STAP2
P52630	STAT2
P52823	STC1
Q9NP99	TREM1
Q9UHE8	STEAP1
Q8IWL8	STH
P02787	TF
Q9NZ72	STMN3
Q9H169	STMN4
P03986	TRGC2
Q9P2F5	STOX2
Q9Y6Q2	STON1
Q8WXE9	STON2
Q5TH74	STPG1
Q8N7X2	STPG3
O60858	TRIM13
A6NGW2	STRCP1
Q7RTU9	STRC
P36406	TRIM23
Q14258	TRIM25
Q69YW2	STUM
P14373	TRIM27
Q9BZY9	TRIM31
O43752	STX6
O15400	STX7
Q9UNK0	STX8
O94972	TRIM37
O00635	TRIM38
Q9HCM9	TRIM39
Q8NFX7	STXBP6
Q7Z4K8	TRIM46
Q8IWZ4	TRIM48
Q86XT4	TRIM50
Q9BSJ1	TRIM51
Q96A61	TRIM52
Q9BYV2	TRIM54
Q8NBK3	SUMF1
Q9UH99	SUN2
O75683	SURF6
Q5VX71	SUSD4
Q496J9	SV2C
Q8N300	SVBP
Q4LDE5	SVEP1
O95425	SVIL
Q8NHG7	SVIP
Q8N434	SVOPL
Q8N4V2	SVOP
Q7Z4N2	TRPM1
O94759	TRPM2
Q9HCF6	TRPM3
Q8TD43	TRPM4
Q9NZQ8	TRPM5
Q9BX84	TRPM6
Q96QT4	TRPM7
Q6ZW31	SYDE1
Q6ZMY3	SPOCD1
Q8IUH8	SPPL2C
Q96N96	SPATA13
Q8TB22	SPATA20
Q9BXN6	SPANXD
Q8NFR3	SPTSSB
P11277	SPTB
Q8IUR0	TRAPPC5
O15270	SPTLC2
Q9NUV7	SPTLC3
Q05066	SRY
Q04837	SSBP1
Q4KMQ1	TPRN
Q8TE77	SSH3
Q8WYL5	SSH1
P30872	SSTR1
Q9BX59	TAPBPL
O15533	TAPBP
O60507	TPST1
P51571	SSR4
P43307	SSR1
Q56UQ5	null
Q9UPV9	TRAK1
Q15035	TRAM2
Q12931	TRAP1
Q6PIZ9	TRAT1
Q9NP77	SSU72
Q16384	SSX1
Q99909	SSX3
Q9Y2M2	SSUH2
P0DMM9	SULT1A3
P0DMN0	SULT1A4
A0A075B706	TRDJ1
Q6IMI6	SULT1C3
Q9Y5Y6	ST14
A0A1B0GX56	TRDV1
A0JD37	TRDV3
O60284	ST18
Q06520	SULT2A1
O00204	SULT2B1
Q86UX6	STK32C
P51692	STAT5B
Q9Y3M8	STARD13
Q92502	STARD8
O95630	STAMBP
P49675	STAR
O95210	STBD1
Q14849	STARD3
Q96DR4	STARD4
P02808	STATH
Q9NUL3	STAU2
Q15468	STIL
Q13586	STIM1
Q9P246	STIM2
Q9BYT3	STK33
Q9UEW8	STK39
Q13188	STK3
H3BQB6	STMND1
Q15831	STK11
P49842	STK19
P09430	TNP1
Q07283	TCHH
Q05952	TNP2
Q7Z7C7	STRA8
Q8N412	STPG2
Q7RTN6	STRADA
Q5VSL9	STRIP1
Q9ULQ0	STRIP2
P35270	SPR
P22531	SPRR2E
Q9BUD6	SPON2
Q9BWG4	SSBP4
Q9Y3C4	TPRKB
Q9NQ55	PPAN
Q8WWF3	SSMEM1
Q14714	SSPN
A2VEC9	SSPO
P30874	SSTR2
P32745	SSTR3
P31391	SSTR4
O60704	TPST2
P43308	SSR2
P35346	SSTR5
Q6XPS3	TPTE2
P56180	TPTE
O14836	TNFRSF13B
Q9Y2W1	THRAP3
Q8N609	TRAM1L1
Q6F5E7	TXNRD3NB
A6NCK2	TRIM43B
A6NDI0	TRIM49B
P0CI26	TRIM49C
